order_id,quantity,item_name,choice_description,price_numeric,price_per_item,Coke,date
10,1,Chips and Guacamole,,4.45,4.45,False,2018-01-11
11,1,Barbacoa Burrito,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-19
11,1,Nantucket Nectar,[Pomegranate Cherry],3.39,3.39,False,2018-01-19
12,1,Chicken Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-16
12,1,Izze,[Grapefruit],3.39,3.39,False,2018-01-16
13,1,Chips and Fresh Tomato Salsa,,2.39,2.39,False,2018-01-27
13,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-27
14,1,Carnitas Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-01
14,1,Canned Soda,[Dr. Pepper],1.09,1.09,False,2018-01-01
15,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-13
15,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-13
16,1,Steak Burrito,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]",8.99,8.99,False,2018-01-30
16,1,Side of Chips,,1.69,1.69,False,2018-01-30
17,1,Carnitas Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-17
17,1,Bottled Water,,1.09,1.09,False,2018-01-17
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, Rice]",8.75,8.75,False,2018-01-18
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Cheese, Lettuce]]",8.75,8.75,False,2018-01-18
18,1,Chips and Guacamole,,4.45,4.45,False,2018-01-18
18,1,Chips and Tomatillo Green Chili Salsa,,2.95,2.95,False,2018-01-18
19,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-30
19,1,Chips,,2.15,2.15,False,2018-01-30
20,1,Chips and Guacamole,,4.45,4.45,False,2018-01-29
20,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-29
20,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-29
20,1,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]",8.75,8.75,False,2018-01-29
21,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-14
21,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]",8.99,8.99,False,2018-01-14
21,1,Izze,[Blackberry],3.39,3.39,False,2018-01-14
22,1,Steak Burrito,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]",8.99,8.99,False,2018-01-15
22,1,Chips and Guacamole,,3.99,3.99,False,2018-01-15
23,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-05
23,2,Canned Soda,[Mountain Dew],2.18,1.09,False,2018-01-05
24,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-11
24,1,Canned Soda,[Sprite],1.09,1.09,False,2018-01-11
25,1,Steak Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]",8.99,8.99,False,2018-01-24
25,1,Chips and Fresh Tomato Salsa,,2.39,2.39,False,2018-01-24
26,1,Barbacoa Soft Tacos,"[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]",9.25,9.25,False,2018-01-10
26,1,Veggie Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-10
27,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-14
27,1,Chips,,2.15,2.15,False,2018-01-14
28,1,Chips and Guacamole,,4.45,4.45,False,2018-01-21
28,1,Steak Soft Tacos,"[Fresh Tomato Salsa, Cheese]",9.25,9.25,False,2018-01-21
28,1,Veggie Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-21
28,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",8.75,8.75,False,2018-01-21
29,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-28
29,1,Steak Soft Tacos,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-28
30,1,Izze,[Blackberry],3.39,3.39,False,2018-01-15
30,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese]]",8.99,8.99,False,2018-01-15
30,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-15
31,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]",8.99,8.99,False,2018-01-25
31,1,Side of Chips,,1.69,1.69,False,2018-01-25
32,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-09
32,1,Chips and Guacamole,,3.99,3.99,False,2018-01-09
33,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,False,2018-01-29
33,1,Chips and Guacamole,,4.45,4.45,False,2018-01-29
34,1,Chicken Soft Tacos,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",8.75,8.75,False,2018-01-01
34,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Lettuce]]",8.75,8.75,False,2018-01-01
34,1,Chips,,2.15,2.15,False,2018-01-01
34,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",8.75,8.75,False,2018-01-01
35,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]",11.25,11.25,False,2018-01-05
35,1,Chips,,2.15,2.15,False,2018-01-05
36,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,False,2018-01-16
36,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",8.75,8.75,False,2018-01-16
37,1,Chicken Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]",8.75,8.75,False,2018-01-10
37,1,Steak Soft Tacos,[Tomatillo Red Chili Salsa],9.25,9.25,False,2018-01-10
38,1,Veggie Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce]]",8.49,8.49,False,2018-01-08
38,1,Steak Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce]]",8.99,8.99,False,2018-01-08
38,1,Bottled Water,,1.09,1.09,False,2018-01-08
39,1,Carnitas Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]",9.25,9.25,False,2018-01-03
39,1,Chips and Fresh Tomato Salsa,,2.95,2.95,False,2018-01-03
40,1,Steak Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",11.75,11.75,False,2018-01-25
40,1,Steak Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]",11.75,11.75,False,2018-01-25
40,1,Steak Crispy Tacos,"[Fresh Tomato Salsa, Sour Cream]",9.25,9.25,False,2018-01-25
41,1,Carnitas Burrito,"[Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]",11.75,11.75,False,2018-01-15
41,1,Chips and Guacamole,,4.45,4.45,False,2018-01-15
42,1,Barbacoa Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]",9.25,9.25,False,2018-01-03
42,1,Chips and Guacamole,,4.45,4.45,False,2018-01-03
43,1,Carnitas Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-16
43,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]",8.75,8.75,False,2018-01-16
44,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce]]",8.75,8.75,False,2018-01-17
44,1,Chips and Guacamole,,4.45,4.45,False,2018-01-17
45,1,Steak Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-08
45,1,Steak Bowl,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-08
45,1,Chips and Guacamole,,3.99,3.99,False,2018-01-08
46,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-29
46,1,Nantucket Nectar,[Pineapple Orange Banana],3.39,3.39,False,2018-01-29
47,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]",8.99,8.99,False,2018-01-29
47,1,Canned Soda,[Dr. Pepper],1.09,1.09,False,2018-01-29
48,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]",9.25,9.25,False,2018-01-29
48,1,Chips and Guacamole,,4.45,4.45,False,2018-01-29
49,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",8.75,8.75,False,2018-01-04
49,1,Chips and Tomatillo Red Chili Salsa,,2.95,2.95,False,2018-01-04
49,1,Chips and Guacamole,,4.45,4.45,False,2018-01-04
50,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-10
50,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-10
51,1,Barbacoa Bowl,"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-03
51,1,Chicken Burrito,"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese, Lettuce]]",8.49,8.49,False,2018-01-03
51,1,Canned Soda,[Diet Dr. Pepper],1.09,1.09,False,2018-01-03
52,1,Steak Soft Tacos,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Lettuce]]",8.99,8.99,False,2018-01-21
52,1,Chips and Guacamole,,3.99,3.99,False,2018-01-21
53,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",8.75,8.75,False,2018-01-20
53,1,Barbacoa Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",9.25,9.25,False,2018-01-20
53,1,Chips and Guacamole,,4.45,4.45,False,2018-01-20
54,1,Chicken Bowl,"[Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]",11.25,11.25,False,2018-01-25
54,1,Chips and Guacamole,,4.45,4.45,False,2018-01-25
55,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]",8.99,8.99,False,2018-01-16
55,1,Canned Soda,[Coca Cola],1.09,1.09,False,2018-01-16
56,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]",9.25,9.25,False,2018-01-30
56,1,Chips and Tomatillo Red Chili Salsa,,2.95,2.95,False,2018-01-30
56,1,Chips and Guacamole,,4.45,4.45,False,2018-01-30
57,1,Barbacoa Burrito,"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-16
57,1,Chips and Guacamole,,4.45,4.45,False,2018-01-16
58,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-26
58,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-26
59,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]",10.98,10.98,False,2018-01-10
60,2,Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]",22.5,11.25,False,2018-01-20
61,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-21
61,1,Chips and Guacamole,,4.45,4.45,False,2018-01-21
62,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]",11.25,11.25,False,2018-01-15
62,1,Chips and Guacamole,,4.45,4.45,False,2018-01-15
63,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",11.25,11.25,False,2018-01-16
63,1,Chips and Guacamole,,4.45,4.45,False,2018-01-16
64,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-01
64,1,Veggie Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-01
65,1,Barbacoa Burrito,"[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",11.75,11.75,False,2018-01-13
65,1,Carnitas Bowl,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]",9.25,9.25,False,2018-01-13
65,1,Chips and Guacamole,,4.45,4.45,False,2018-01-13
66,1,Steak Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]",11.48,11.48,False,2018-01-03
67,2,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]",17.98,8.99,False,2018-01-30
67,1,Side of Chips,,1.69,1.69,False,2018-01-30
68,2,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]",17.5,8.75,False,2018-01-16
68,1,Chips and Guacamole,,4.45,4.45,False,2018-01-16
69,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-21
69,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-21
70,2,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",17.5,8.75,False,2018-01-11
70,1,Chips and Guacamole,,4.45,4.45,False,2018-01-11
71,1,Chips and Guacamole,,4.45,4.45,False,2018-01-13
71,1,Veggie Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-13
71,1,Steak Burrito,"[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-13
72,1,Chicken Burrito,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-18
73,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-01
73,1,Chicken Burrito,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-01
73,2,Canned Soda,[Diet Coke],2.18,1.09,True,2018-01-01
74,1,Carnitas Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",11.48,11.48,False,2018-01-16
74,1,Veggie Bowl,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-16
74,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-16
75,1,Chips and Guacamole,,4.45,4.45,False,2018-01-11
75,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-11
75,1,Barbacoa Crispy Tacos,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",11.75,11.75,False,2018-01-11
75,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream]]",8.75,8.75,False,2018-01-11
76,1,Chicken Burrito,"[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Cheese, Lettuce]]",8.49,8.49,False,2018-01-06
76,2,Canned Soda,[Diet Dr. Pepper],2.18,1.09,False,2018-01-06
77,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-05
77,1,Nantucket Nectar,[Apple],3.39,3.39,False,2018-01-05
78,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), Lettuce]",8.49,8.49,False,2018-01-12
78,1,Steak Soft Tacos,"[Roasted Chili Corn Salsa (Medium), Lettuce]",8.99,8.99,False,2018-01-12
79,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-15
80,1,Steak Burrito,"[Fresh Tomato Salsa (Mild), [Rice, Black Beans, Sour Cream, Guacamole]]",11.48,11.48,False,2018-01-10
81,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-07
81,1,Canned Soda,[Coca Cola],1.09,1.09,False,2018-01-07
81,1,Canned Soda,[Dr. Pepper],1.09,1.09,False,2018-01-07
82,1,Barbacoa Soft Tacos,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]",9.25,9.25,False,2018-01-17
82,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream]]",8.75,8.75,False,2018-01-17
82,1,Chips and Fresh Tomato Salsa,,2.95,2.95,False,2018-01-17
83,1,Steak Soft Tacos,"[Fresh Tomato Salsa, [Cheese, Sour Cream]]",9.25,9.25,False,2018-01-10
83,1,Chips and Guacamole,,4.45,4.45,False,2018-01-10
83,1,Veggie Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-10
84,1,Steak Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Guacamole, Lettuce]]",11.48,11.48,False,2018-01-22
84,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-22
84,1,Chicken Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Lettuce]]",8.49,8.49,False,2018-01-22
85,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice]]",8.99,8.99,False,2018-01-27
85,1,Chips and Roasted Chili-Corn Salsa,,2.39,2.39,False,2018-01-27
86,1,Veggie Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-02
86,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]",8.75,8.75,False,2018-01-02
86,1,Chips and Fresh Tomato Salsa,,2.95,2.95,False,2018-01-02
87,1,Canned Soda,[Coca Cola],1.09,1.09,False,2018-01-27
87,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]",8.99,8.99,False,2018-01-27
88,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-11
88,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-11
89,1,Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-25
89,1,Canned Soda,[Diet Coke],1.09,1.09,True,2018-01-25
89,1,Chips and Guacamole,,3.99,3.99,False,2018-01-25
90,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",11.25,11.25,False,2018-01-23
90,1,Chicken Burrito,"[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Lettuce]]",8.75,8.75,False,2018-01-23
91,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-13
91,1,Nantucket Nectar,[Peach Orange],3.39,3.39,False,2018-01-13
92,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]",8.75,8.75,False,2018-01-07
92,1,Steak Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,False,2018-01-07
92,1,Chips,,2.15,2.15,False,2018-01-07
93,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-01
93,1,Veggie Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-01
93,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.25,11.25,False,2018-01-01
93,1,Chips and Guacamole,,4.45,4.45,False,2018-01-01
94,2,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]",22.5,11.25,False,2018-01-13
95,1,Chips and Guacamole,,4.45,4.45,False,2018-01-28
95,1,Steak Bowl,"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-28
96,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,False,2018-01-07
96,2,Chicken Crispy Tacos,"[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Lettuce]]",17.5,8.75,False,2018-01-07
